year,sch_id,admin,loc,drink_water,public_water,borehole_water,well_water,surface_water,no_water,sewage_rede_publica,sewage_fossa_septica,waste_servico_coleta,waste_queima,waste_enterra,waste_destino_final_publico,waste_descarta_outra_area,sanitary,sanitary_ei,sanitary_pne,sanitary_funcionarios,sanitary_chuveiro,qt_mat_bas,pc_girl,pc_boy,pc_white,pc_brown,pc_black,pc_indian,pc_asian,pc_nd,pc_cre,pc_pre,pc_prim_1,pc_prim_2,pc_sec
2020,31035386,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,678,51.91740412979351,48.08259587020649,45.13274336283185,41.44542772861357,10.32448377581121,0.2949852507374631,0.2949852507374631,2.5073746312684366,0,0,22.566371681415927,39.67551622418879,32.15339233038348
2020,31039918,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,14,50,50,42.857142857142854,7.142857142857142,0,0,0,50,0,0,100,0,0
2020,31039926,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,127,59.055118110236215,40.94488188976378,45.66929133858268,25.984251968503933,2.3622047244094486,0,1.574803149606299,24.409448818897637,0,0,100,0,0
2020,31039934,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,117,44.44444444444444,55.55555555555556,58.119658119658126,29.059829059829063,4.273504273504273,0,1.7094017094017095,6.837606837606838,0,0,37.60683760683761,62.39316239316239,0
2020,31235938,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,94,53.191489361702125,46.808510638297875,54.25531914893617,30.851063829787233,4.25531914893617,0,0,10.638297872340425,0,100,0,0,0
2020,31287199,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,82,50,50,37.80487804878049,43.90243902439025,10.975609756097562,0,1.2195121951219512,6.097560975609756,100,0,0,0,0
2020,31292346,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,44,36.36363636363637,63.63636363636363,50,25,11.363636363636363,0,0,13.636363636363635,11.363636363636363,6.8181818181818175,11.363636363636363,0,0
2021,31035386,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,700,51.714285714285715,48.285714285714285,39,47.14285714285714,9.857142857142858,0.2857142857142857,0.2857142857142857,3.428571428571429,0,0,14.714285714285714,51,25.71428571428571
2021,31039918,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,15,40,60,53.333333333333336,13.333333333333334,0,0,0,33.33333333333333,0,0,100,0,0
2021,31039926,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,152,57.23684210526315,42.76315789473684,44.07894736842105,30.92105263157895,1.3157894736842104,0,1.3157894736842104,22.36842105263158,0,0,100,0,0
2021,31039934,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,41,41.46341463414634,58.536585365853654,56.09756097560976,26.82926829268293,0,0,2.4390243902439024,14.634146341463413,0,0,100,0,0
2021,31235938,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,127,48.818897637795274,51.181102362204726,43.30708661417323,40.94488188976378,7.874015748031496,0,0.7874015748031495,7.086614173228346,0,100,0,0,0
2021,31287199,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,61,55.73770491803278,44.26229508196721,37.704918032786885,40.98360655737705,6.557377049180328,0,0,14.754098360655737,100,0,0,0,0
2021,31292346,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,47,36.17021276595745,63.829787234042556,51.06382978723404,25.53191489361702,10.638297872340425,0,0,12.76595744680851,14.893617021276595,2.127659574468085,14.893617021276595,0,0
2022,31035386,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,560,50.71428571428571,49.28571428571429,42.67857142857142,46.42857142857143,8.214285714285714,0.17857142857142858,0.17857142857142858,2.3214285714285716,0,0,0,61.07142857142858,33.92857142857143
2022,31039918,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,15,46.666666666666664,53.333333333333336,53.333333333333336,13.333333333333334,0,0,0,33.33333333333333,0,0,100,0,0
2022,31039926,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,251,53.78486055776892,46.21513944223107,47.01195219123506,33.067729083665334,3.9840637450199203,0,0.796812749003984,15.139442231075698,0,0,100,0,0
2022,31039934,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,39,46.15384615384615,53.84615384615385,46.15384615384615,35.8974358974359,0,0,2.564102564102564,15.384615384615385,0,0,100,0,0
2022,31235938,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,132,52.27272727272727,47.72727272727273,40.15151515151515,41.66666666666667,7.575757575757576,0,0.7575757575757576,9.848484848484848,0,100,0,0,0
2022,31287199,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,120,50.83333333333333,49.166666666666664,43.333333333333336,43.333333333333336,5.833333333333333,0,0,7.5,100,0,0,0,0
2022,31292346,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,40,35,65,55.00000000000001,27.500000000000004,5,0,0,12.5,5,10,15,0,0
